Phase,State,Duration(s),Timestamp
Direction 1,GREEN,20,2025-06-12 13:51:42
Direction 1,YELLOW,3,2025-06-12 13:52:03
Direction 1,RED,5,2025-06-12 13:52:06
Direction 2,GREEN,16,2025-06-12 13:52:11
Direction 2,YELLOW,3,2025-06-12 13:52:27
Direction 2,RED,5,2025-06-12 13:52:30
Direction 3,GREEN,12,2025-06-12 13:52:35
Direction 3,YELLOW,3,2025-06-12 13:52:47
Direction 3,RED,5,2025-06-12 13:52:50
Direction 1,GREEN,21,2025-06-12 13:54:10
Direction 1,YELLOW,3,2025-06-12 13:54:31
Direction 1,RED,5,2025-06-12 13:54:34
Direction 2,GREEN,15,2025-06-12 13:54:39
Direction 2,YELLOW,3,2025-06-12 13:54:54
Direction 2,RED,5,2025-06-12 13:54:57
Direction 3,GREEN,12,2025-06-12 13:55:03
Direction 3,YELLOW,3,2025-06-12 13:55:15
Direction 3,RED,5,2025-06-12 13:55:18
Direction 1,GREEN,24,2025-06-12 20:24:18
Direction 3,GREEN,21,2025-06-12 23:09:11
Direction 3,YELLOW,3,2025-06-12 23:09:32
Direction 3,RED,5,2025-06-12 23:09:35
Direction 1,GREEN,18,2025-06-12 23:09:40
Direction 1,YELLOW,3,2025-06-12 23:09:58
Direction 1,RED,5,2025-06-12 23:10:01
Direction 2,GREEN,17,2025-06-12 23:10:06
Direction 2,YELLOW,3,2025-06-12 23:10:23
Direction 2,RED,5,2025-06-12 23:10:26
Direction 1,GREEN,12,2025-06-15 14:40:01
Direction 1,YELLOW,3,2025-06-15 14:40:13
Direction 1,RED,5,2025-06-15 14:40:16
Direction 2,GREEN,11,2025-06-15 14:40:21
Direction 2,YELLOW,3,2025-06-15 14:40:32
Direction 2,RED,5,2025-06-15 14:40:35
Direction 3,GREEN,10,2025-06-15 14:40:40
Direction 3,YELLOW,3,2025-06-15 14:40:50
Direction 3,RED,5,2025-06-15 14:40:53
Direction 1,GREEN,18,2025-06-15 15:18:02
Direction 1,GREEN,20,2025-06-15 15:18:18
Direction 1,GREEN,21,2025-06-16 09:59:00
Direction 1,GREEN,21,2025-06-16 09:59:54
Direction 1,GREEN,20,2025-06-16 13:41:03
Direction 1,YELLOW,3,2025-06-16 13:41:24
Direction 1,RED,5,2025-06-16 13:41:27
Direction 2,GREEN,17,2025-06-16 13:41:32
Direction 2,YELLOW,3,2025-06-16 13:41:49
Direction 2,RED,5,2025-06-16 13:41:52
Direction 3,GREEN,16,2025-06-16 13:41:57
Direction 3,YELLOW,3,2025-06-16 13:42:13
Direction 3,RED,5,2025-06-16 13:42:16
Direction 1,GREEN,21,2025-06-16 21:28:10
