Lane,Vehicle Count,Timestamp
east,34,2025-06-12 13:26:25
west,41,2025-06-12 13:26:29
north,12,2025-06-12 13:26:31
south,10,2025-06-12 13:26:33
east,30,2025-06-12 13:27:15
west,22,2025-06-12 13:27:16
north,23,2025-06-12 13:27:17
south,19,2025-06-12 13:27:18
east,34,21,2025-06-12 13:34:47
west,19,16,2025-06-12 13:34:48
north,8,12,2025-06-12 13:34:48
south,9,13,2025-06-12 13:34:49
east,27,2025-06-12 13:40:22
west,19,2025-06-12 13:40:23
north,8,2025-06-12 13:40:24
south,10,2025-06-12 13:40:25
east,67,2025-06-12 13:42:40
west,70,2025-06-12 13:42:50
north,16,2025-06-12 13:43:00
south,26,2025-06-12 13:43:10
east,31,2025-06-12 13:46:57
west,19,2025-06-12 13:46:58
north,7,2025-06-12 13:46:58
south,9,2025-06-12 13:46:59
east,49,2025-06-12 14:37:56
west,19,2025-06-12 14:37:57
north,8,2025-06-12 14:37:58
south,9,2025-06-12 14:37:59
east,33,2025-06-12 20:23:44
west,23,2025-06-12 20:23:46
north,8,2025-06-12 20:23:47
south,10,2025-06-12 20:23:48
east,0,2025-06-12 22:51:21
west,59,2025-06-12 22:51:31
north,15,2025-06-12 22:51:41
south,18,2025-06-12 22:51:50
east,40,2025-06-12 22:52:16
west,21,2025-06-12 22:52:17
north,9,2025-06-12 22:52:17
south,28,2025-06-12 22:52:18
east,35,2025-06-12 22:52:37
west,48,2025-06-12 22:52:45
north,37,2025-06-12 22:52:53
south,48,2025-06-12 22:53:02
east,40,2025-06-13 11:19:40
west,39,2025-06-13 11:19:43
north,12,2025-06-13 11:19:47
south,10,2025-06-13 11:19:48
east,33,2025-06-13 12:57:24
west,26,2025-06-13 12:57:28
north,18,2025-06-13 12:57:31
south,30,2025-06-13 12:57:32
east,38,2025-06-15 11:09:15
west,17,2025-06-15 11:09:16
north,8,2025-06-15 11:09:17
south,10,2025-06-15 11:09:18
east,26,2025-06-15 11:10:21
west,22,2025-06-15 11:10:21
north,17,2025-06-15 11:10:21
south,15,2025-06-15 11:10:22
east,33,2025-06-15 11:11:04
west,19,2025-06-15 11:11:05
north,8,2025-06-15 11:11:06
south,9,2025-06-15 11:11:07
east,28,2025-06-15 11:22:13
west,15,2025-06-15 11:22:14
north,7,2025-06-15 11:22:14
south,8,2025-06-15 11:22:15
east,22,2025-06-15 11:25:26
west,22,2025-06-15 11:25:26
north,15,2025-06-15 11:25:27
south,10,2025-06-15 11:25:27
east,26,2025-06-15 11:26:02
west,19,2025-06-15 11:26:02
north,15,2025-06-15 11:26:02
south,11,2025-06-15 11:26:03
east,26,2025-06-15 11:30:48
west,19,2025-06-15 11:30:48
north,15,2025-06-15 11:30:49
south,9,2025-06-15 11:30:49
east,24,2025-06-15 11:35:39
west,22,2025-06-15 11:35:40
north,19,2025-06-15 11:35:40
south,10,2025-06-15 11:35:41
east,22,2025-06-15 11:38:05
west,22,2025-06-15 11:38:05
north,18,2025-06-15 11:38:06
south,11,2025-06-15 11:38:06
east,26,2025-06-15 11:42:08
west,19,2025-06-15 11:42:08
north,15,2025-06-15 11:42:08
south,9,2025-06-15 11:42:09
east,25,2025-06-15 11:45:03
west,19,2025-06-15 11:45:03
north,18,2025-06-15 11:45:04
south,9,2025-06-15 11:45:04
east,48,2025-06-15 11:45:49
west,62,2025-06-15 11:45:59
north,58,2025-06-15 11:46:09
south,56,2025-06-15 11:46:19
east,33,2025-06-15 11:51:51
west,47,2025-06-15 11:51:58
north,49,2025-06-15 11:52:06
south,34,2025-06-15 11:52:12
east,29,2025-06-15 13:41:29
west,24,2025-06-15 13:41:31
north,20,2025-06-15 13:41:33
south,15,2025-06-15 13:41:34
east,43,2025-06-15 13:42:19
west,55,2025-06-15 13:42:29
north,49,2025-06-15 13:42:39
south,39,2025-06-15 13:42:49
east,43,2025-06-15 13:44:21
west,55,2025-06-15 13:44:31
north,49,2025-06-15 13:44:41
south,39,2025-06-15 13:44:51
east,26,2025-06-15 14:35:33
west,22,2025-06-15 14:35:33
north,19,2025-06-15 14:35:34
south,9,2025-06-15 14:35:34
east,43,2025-06-15 14:36:26
west,27,2025-06-15 14:36:28
north,23,2025-06-15 14:36:31
south,18,2025-06-15 14:36:33
east,24,2025-06-15 15:10:53
west,22,2025-06-15 15:11:03
north,18,2025-06-15 15:11:10
south,14,2025-06-15 15:11:13
east,24,2025-06-15 15:12:31
west,71,2025-06-15 15:12:41
north,39,2025-06-15 15:12:51
south,49,2025-06-15 15:13:01
east,12,2025-06-15 15:13:34
west,13,2025-06-15 15:13:35
north,11,2025-06-15 15:13:36
south,32,2025-06-15 15:13:36
east,31,2025-06-15 15:14:24
west,23,2025-06-15 15:14:26
north,26,2025-06-15 15:14:27
south,24,2025-06-15 15:14:29
east,26,2025-06-15 15:15:04
west,23,2025-06-15 15:15:05
north,10,2025-06-15 15:15:06
south,0,2025-06-15 15:15:06
